,domain,revenue,is_confidential,name,seller_id,seller_type,_merge
0,vuukle.com,,0,Vuukle [HB],002223867dc2abc8f61d382472da7690,INTERMEDIARY,right_only
1,oyada.xyz,,0,TELECARE,0039bf03278f83a8c29e862fa6a7d6cf,PUBLISHER,right_only
2,zemanta.com,,0,EXT - Zemanta,00588d1868c60c12d50c15f14bd1b2a6,PUBLISHER,right_only
3,ultrabrit.com,,0,ultrabrit.com,00680990c495fe8324648b8efc3aee3b,PUBLISHER,right_only
4,loptimisme.com,,0,L'Optimisme,0086b06d9f95743aa2f1464266d2ab4c,PUBLISHER,right_only
5,newebregie.fr,,0,Neweb,00d2d3ad63a5fa3482d96692df0974f7,PUBLISHER,right_only
6,Pinprestige.com,,0,Pinprestige,00dbecc4c31c26f0bb0f739c2d287ee7,PUBLISHER,right_only
7,newsquest.co.uk,,0,NewsQuest,0110470e4e6fb0170c8b2d530878f4bf,PUBLISHER,right_only
8,teknoekip.com,,0,Tekno Ekip,011c32a1ac7e701e9d8aa8294b61716d,PUBLISHER,right_only
9,magicaffiliatecash.com,,0,Simon Lacroix,0124486a1d636fbac5995f08bb99f6ab,PUBLISHER,right_only
10,diaadia.com.pa,,0,diaadia.com.pa,0132a5b1aabcd60e329dfcf23e582a36,PUBLISHER,right_only
11,filez.ge,,0,Filez.Ge,01640eca4828d095b4e8d8695f973220,PUBLISHER,right_only
12,elpais.com,,0,Prisa Brand Solutions,017b3f09967dd9fbe95916eaad01bef4,PUBLISHER,right_only
13,thedirty.com,,0,The Dirty,01ad25bafc5fb137b1c2993f1fdc0f81,PUBLISHER,right_only
14,noreste.net,,0,Noreste.net,01afa83fe100209ad60304761cf424f6,PUBLISHER,right_only
15,nelstorm.com,,0,Nelstorms blog,01b9889f09a10abdf995d61140ac0b60,PUBLISHER,right_only
16,encelademediagroup.com,,0,Encelade Media Group,01bbbeb7ca41dc135ff8c3e4df1a7d7b,PUBLISHER,right_only
17,adyoulike-network.com,,0,Adyoulike (System),01e4473d9753f79f5f26595bd9c855a9,PUBLISHER,right_only
18,lemediatv.fr,,0,Le media,01ea3fbd26e5a5c3a372d0e7475e1e5a,PUBLISHER,right_only
19,newstatesman.com,,0,Progressive Media,01fa3fe7ed6c8d87e6417d32c64099ef,PUBLISHER,right_only
20,horizont.net,,0,Deutscher Fachverlag GmbH,0250cdc4f179d69655ebae18d2dc042f,PUBLISHER,right_only
21,netmums.com,,0,NetMums,02752416cf51d2ab5840e4cc6e156867,PUBLISHER,right_only
22,ividence.com,,0,Ividence,0276a74ef87a4b467d983c3958f831ca,PUBLISHER,right_only
23,lanueva.com,,0,La Nueva,02903caf70c4d3b34fda7ba353c49a9f,PUBLISHER,right_only
24,ikodigital.hu,,0,IKO Digital,029aee78e37c724aa723140dafc6604d,PUBLISHER,right_only
25,sporx.com,,0,Sporx Group,02c1bccbbaf41c300e5584ca9bea53da,PUBLISHER,right_only
